,score_sum
7276,0.0
2944,24.0
1278,100.0
2588,0.0
8058,0.0
9943,0.0
7678,0.0
1849,2.0
5102,96.0
2659,92.0
3785,99.0
3436,0.0
4257,0.0
3195,0.0
5567,8.0
9254,95.0
2192,95.0
8886,4.0
686,0.0
6293,94.0
4624,98.0
2603,0.0
4349,0.0
528,99.0
3823,93.0
3926,0.0
9857,0.0
6289,99.0
8898,6.0
3494,0.0
7384,20.0
8121,99.0
8422,0.0
6623,7.0
9706,8.0
10070,93.0
3457,4.0
4822,0.0
8291,7.0
2021,98.0
2940,93.0
8299,6.0
9795,96.0
7369,100.0
7521,0.0
2555,98.0
685,0.0
3654,97.0
1772,0.0
9213,97.0
7545,100.0
7679,0.0
6436,4.0
3544,99.0
6259,9.0
1387,4.0
6972,8.0
10272,95.0
201,4.0
9971,4.0
6758,96.0
753,99.0
67,2.0
625,13.0
2213,10.0
1226,12.0
787,99.0
1702,0.0
10806,12.0
1841,5.0
2850,91.0
5541,0.0
5358,0.0
8707,4.0
3697,100.0
6026,0.0
10910,0.0
14,0.0
6699,6.0
1136,95.0
6531,98.0
6695,8.0
6295,4.0
4579,95.0
830,20.0
3978,94.0
10942,0.0
2177,6.0
7796,4.0
262,4.0
5137,93.0
4427,98.0
8407,10.0
10357,0.0
8635,0.0
4656,0.0
91,10.0
5648,0.0
8899,6.0
3681,98.0
4979,0.0
154,0.0
6204,95.0
4657,0.0
767,98.0
10186,0.0
9759,0.0
4582,18.0
352,0.0
7938,8.0
1901,0.0
7915,0.0
6601,97.0
8583,8.0
959,0.0
1235,0.0
9753,0.0
10604,4.0
4440,1.0
2694,13.0
6339,13.0
292,97.0
3992,6.0
4426,0.0
1358,96.0
5793,4.0
1285,8.0
8269,95.0
1516,14.0
9216,98.0
3119,98.0
5900,99.0
8680,8.0
6660,0.0
6294,96.0
8053,0.0
3670,99.0
16,2.0
9043,98.0
5427,98.0
9696,96.0
984,0.0
10127,95.0
1186,96.0
8678,16.0
3762,8.0
7731,100.0
9505,95.0
4238,0.0
10364,93.0
2222,96.0
8981,0.0
3960,0.0
10925,0.0
9913,0.0
9481,95.0
6303,6.0
7768,14.0
2405,0.0
10310,16.0
4129,0.0
7738,10.0
10128,95.0
6801,96.0
5286,0.0
138,0.0
5057,97.0
3450,2.0
6755,93.0
9902,97.0
10058,92.0
3741,22.0
9683,98.0
7015,96.0
4897,20.0
6053,97.0
3433,0.0
8192,100.0
7918,14.0
9296,95.0
8163,99.0
1067,91.0
9305,94.0
7569,93.0
6506,0.0
6245,0.0
6443,97.0
4613,4.0
3383,0.0
10765,97.0
2026,4.0
5756,10.0
1016,0.0
10690,0.0
3462,8.0
2418,94.0
10142,100.0
7070,93.0
7476,0.0
2718,95.0
9789,0.0
2178,97.0
9998,4.0
6508,0.0
8523,0.0
7626,0.0
10176,0.0
4231,98.0
1616,8.0
7930,4.0
6106,6.0
4145,0.0
1327,93.0
1253,0.0
3079,8.0
6269,94.0
296,96.0
1658,97.0
5645,100.0
6331,0.0
630,93.0
10434,0.0
3737,94.0
720,96.0
5791,8.0
578,99.0
9578,0.0
1379,96.0
1500,95.0
2735,0.0
3044,2.0
2803,97.0
9547,92.0
4783,98.0
4134,0.0
6673,99.0
6036,22.0
8465,93.0
10275,95.0
10460,100.0
8273,99.0
9751,0.0
7767,4.0
3814,0.0
9367,0.0
6792,1.0
9450,97.0
1330,97.0
6163,96.0
3244,0.0
10136,6.0
10179,0.0
1251,0.0
6272,99.0
379,0.0
413,4.0
738,0.0
730,0.0
9671,98.0
2001,2.0
6577,4.0
1591,96.0
2750,97.0
3183,96.0
3777,97.0
4056,0.0
4220,0.0
9492,93.0
972,0.0
8787,94.0
2587,0.0
6228,92.0
8361,97.0
3285,94.0
1160,97.0
9148,0.0
3900,99.0
6115,4.0
9155,10.0
4834,0.0
5729,0.0
934,10.0
6902,8.0
4805,0.0
5074,98.0
3126,0.0
2739,0.0
3707,98.0
2704,4.0
4101,3.0
1911,0.0
446,8.0
8052,0.0
5282,0.0
4814,0.0
2762,97.0
10200,0.0
2013,4.0
8416,100.0
5168,100.0
7864,0.0
6167,100.0
445,22.0
4169,0.0
8166,96.0
9571,96.0
2160,0.0
586,97.0
8538,0.0
3336,8.0
8153,8.0
2482,98.0
1046,96.0
5469,0.0
4140,0.0
9911,4.0
695,0.0
4034,96.0
10457,4.0
5232,0.0
6804,100.0
5760,14.0
51,4.0
6416,0.0
3684,4.0
1697,0.0
9499,99.0
6811,4.0
1684,0.0
981,0.0
3848,97.0
1791,0.0
8464,2.0
8227,0.0
4054,10.0
2473,4.0
4977,0.0
5388,97.0
4425,97.0
5417,99.0
4978,0.0
