,score_sum
1547,0.0
2770,99.0
10395,94.0
10268,0.0
6284,6.0
4832,0.0
6912,94.0
7310,0.0
7182,6.0
10763,2.0
4627,8.0
5415,97.0
8771,5.0
9219,98.0
4422,6.0
3066,10.0
4645,0.0
1675,0.0
6925,12.0
1833,1.0
6078,3.0
10604,4.0
7884,96.0
283,99.0
1013,24.0
10414,0.0
1388,99.0
274,100.0
4578,0.0
4041,96.0
4462,8.0
484,0.0
6938,95.0
6389,95.0
162,0.0
10228,8.0
4030,8.0
9214,97.0
7646,15.0
1796,0.0
9662,4.0
8975,0.0
7262,5.0
8522,16.0
6249,94.0
1034,0.0
5875,94.0
7838,92.0
3753,0.0
2664,6.0
9543,8.0
8951,0.0
7139,88.0
1457,16.0
2265,0.0
1525,98.0
1837,4.0
8359,96.0
8034,0.0
5579,8.0
3086,98.0
2126,14.0
5689,0.0
1364,2.0
1691,0.0
1336,8.0
4398,4.0
8293,95.0
9853,0.0
9863,0.0
2423,95.0
6909,4.0
2161,0.0
2909,95.0
10798,14.0
6667,0.0
6377,2.0
8607,11.0
2178,97.0
8370,98.0
5404,0.0
6782,8.0
8026,0.0
20,6.0
3752,95.0
9458,13.0
8435,0.0
10912,0.0
3810,4.0
2735,0.0
9480,99.0
10631,0.0
7859,12.0
9453,97.0
4589,8.0
8172,95.0
2104,6.0
5924,8.0
4818,0.0
6853,6.0
2856,94.0
621,94.0
2915,9.0
9611,0.0
5601,100.0
9684,99.0
4563,90.0
7969,0.0
9454,96.0
5083,97.0
4826,0.0
5438,99.0
5783,14.0
7801,0.0
9362,0.0
10666,0.0
8375,4.0
3972,6.0
7313,0.0
9498,100.0
7150,0.0
7991,94.0
10877,4.0
10525,0.0
6981,97.0
8368,96.0
8376,10.0
6436,4.0
9099,100.0
8582,0.0
7896,94.0
2577,24.0
8862,7.0
5740,0.0
9199,91.0
9620,14.0
9639,4.0
4583,0.0
808,4.0
4604,12.0
844,18.0
1303,96.0
733,8.0
4490,12.0
4678,0.0
10934,0.0
1150,94.0
10186,0.0
7009,98.0
8782,99.0
7989,6.0
543,20.0
4840,0.0
1646,99.0
4221,0.0
464,4.0
4375,0.0
4018,90.0
6849,97.0
3860,98.0
3658,98.0
1502,98.0
6664,0.0
7663,99.0
4526,94.0
5554,0.0
3697,100.0
4905,4.0
10137,95.0
4742,96.0
3947,0.0
5466,0.0
9667,97.0
7642,0.0
525,8.0
10090,2.0
4665,0.0
4055,12.0
8483,0.0
3448,4.0
10572,0.0
6953,90.0
5920,4.0
5656,6.0
4343,0.0
10341,0.0
4069,2.0
6047,95.0
311,0.0
6478,0.0
7324,0.0
4943,0.0
5054,97.0
842,8.0
10032,98.0
1939,11.0
8202,8.0
2284,98.0
3311,4.0
8808,2.0
1589,5.0
9832,8.0
326,91.0
3374,99.0
463,96.0
1722,98.0
7460,0.0
5981,0.0
6333,96.0
8362,4.0
9653,91.0
7002,96.0
7972,100.0
7546,7.0
8817,98.0
2436,0.0
3959,0.0
10800,4.0
5566,8.0
1141,0.0
845,8.0
9275,92.0
10836,0.0
9929,96.0
914,92.0
151,0.0
4747,4.0
614,12.0
2291,0.0
2095,98.0
4546,6.0
4580,7.0
475,99.0
10004,4.0
9674,97.0
212,90.0
5813,1.0
7937,4.0
5119,7.0
10183,0.0
3209,18.0
8478,0.0
1414,97.0
10606,0.0
8227,0.0
8870,0.0
796,96.0
725,0.0
1019,100.0
6158,4.0
3151,0.0
3993,93.0
4216,0.0
7693,98.0
7342,6.0
172,0.0
5124,100.0
1812,2.0
7911,10.0
7974,99.0
5890,18.0
10748,96.0
7773,96.0
3100,13.0
7473,6.0
1490,93.0
22,2.0
9193,97.0
7735,98.0
8714,0.0
896,8.0
7806,0.0
5423,4.0
4615,2.0
7588,5.0
6263,4.0
7695,4.0
9302,95.0
1168,94.0
8534,94.0
9923,11.0
6285,4.0
4626,8.0
5571,100.0
8303,22.0
9550,98.0
10067,100.0
2364,0.0
3381,4.0
9663,8.0
3069,8.0
5755,11.0
8036,0.0
989,0.0
9746,0.0
8400,95.0
8082,95.0
7745,0.0
1633,96.0
10442,100.0
7220,6.0
3866,95.0
9700,8.0
9937,6.0
4866,8.0
7638,0.0
8882,0.0
9806,97.0
6035,0.0
1573,0.0
4734,96.0
461,98.0
9287,90.0
7312,0.0
1904,0.0
10047,95.0
5056,93.0
837,38.0
286,95.0
6289,99.0
7664,2.0
642,4.0
7314,0.0
152,0.0
7826,95.0
4126,0.0
9130,96.0
214,0.0
3916,12.0
4677,0.0
908,8.0
7016,96.0
641,96.0
5125,90.0
7520,0.0
5905,6.0
9971,4.0
2550,91.0
3759,0.0
5032,5.0
3184,2.0
1916,13.0
3558,4.0
1789,0.0
7852,22.0
8455,95.0
9846,0.0
6639,0.0
9326,0.0
8859,4.0
7892,6.0
1371,95.0
8406,20.0
8218,94.0
2088,2.0
3261,0.0
5176,0.0
3065,12.0
7362,97.0
8795,0.0
3900,99.0
276,3.0
10071,98.0
5670,0.0
318,93.0
7490,0.0
709,99.0
7953,94.0
10933,0.0
1995,0.0
4247,100.0
2539,10.0
8970,0.0
9493,4.0
2821,95.0
8410,16.0
8741,8.0
794,0.0
9150,4.0
4853,6.0
8187,99.0
5207,0.0
294,90.0
8653,0.0
1203,10.0
5252,4.0
9956,18.0
9276,0.0
3771,93.0
8236,97.0
3297,96.0
637,4.0
8645,0.0
4436,4.0
10832,1.0
4194,0.0
1259,0.0
2150,0.0
2398,0.0
3760,95.0
186,10.0
2747,99.0
9641,97.0
2253,3.0
8737,96.0
8130,93.0
5838,99.0
7925,4.0
962,0.0
10726,0.0
5647,0.0
5853,4.0
1479,94.0
882,3.0
2111,20.0
10250,0.0
3828,98.0
6542,94.0
1652,96.0
3981,91.0
8118,0.0
8766,2.0
6092,98.0
10331,9.0
6795,97.0
4309,4.0
2563,4.0
7100,93.0
811,4.0
2545,98.0
1940,98.0
3827,97.0
4780,100.0
7064,0.0
1090,2.0
3034,0.0
10151,96.0
3050,98.0
2229,0.0
2916,13.0
1750,98.0
10709,0.0
4418,100.0
3320,98.0
10036,99.0
7948,99.0
9831,20.0
3433,0.0
4066,99.0
5386,95.0
7728,4.0
7617,0.0
2110,7.0
4837,0.0
5529,4.0
7061,0.0
2412,0.0
7506,0.0
675,0.0
6290,2.0
2381,12.0
7395,0.0
6075,99.0
5045,12.0
2933,28.0
2214,16.0
1569,0.0
5925,0.0
5204,0.0
3343,94.0
4841,0.0
3510,0.0
3029,0.0
2929,4.0
72,2.0
4226,0.0
1543,0.0
6798,94.0
1854,0.0
2217,0.0
360,8.0
548,97.0
2631,4.0
7181,4.0
1921,10.0
2196,99.0
10903,9.0
5917,4.0
10815,100.0
5540,8.0
4196,0.0
2872,92.0
6480,0.0
6375,4.0
6759,98.0
6322,85.0
4772,96.0
1580,0.0
9002,100.0
4891,98.0
7872,0.0
3806,9.0
865,96.0
6283,13.0
2294,6.0
7440,0.0
6297,8.0
872,94.0
7912,100.0
1142,93.0
9767,84.0
6658,0.0
4433,2.0
8055,0.0
8298,95.0
155,0.0
6766,97.0
2769,97.0
2949,8.0
8396,98.0
6560,95.0
3980,94.0
7778,0.0
8111,92.0
5716,99.0
4153,0.0
7765,0.0
3181,6.0
3763,95.0
7739,100.0
2149,0.0
3465,97.0
3884,96.0
6619,97.0
8285,99.0
3919,96.0
10253,12.0
4934,96.0
1513,95.0
1315,95.0
1249,0.0
4558,94.0
2505,97.0
9031,97.0
8730,99.0
3733,4.0
8551,2.0
5078,95.0
9689,85.0
6456,100.0
9440,98.0
9982,8.0
4749,0.0
697,0.0
4800,90.0
2620,94.0
3754,0.0
6073,94.0
7709,8.0
2158,0.0
1411,14.0
1267,0.0
9148,0.0
7346,4.0
5494,4.0
8302,6.0
5793,4.0
2784,98.0
2041,0.0
1108,0.0
9622,6.0
